path	mbid	rag_id	old_path	tonic	tonic_fine	len	rag_name	labels
data\RagaDataset\audio\89224046-f086-4530-b2a3-70f9ae697faf.wav	89224046-f086-4530-b2a3-70f9ae697faf	0b3bbf97-0ec3-41da-add4-722d87329ec3	data\RagaDataset/Hindustani/audio/0b3bbf97-0ec3-41da-add4-722d87329ec3/Kaustuv_Kanti_Ganguli/Hindustani_Alaps/Raag_Madhukauns_89224046-f086-4530-b2a3-70f9ae697faf	146.832384	1.467475947796241655e+02	565.3731875	Madhukauns	1
data\RagaDataset\audio\57db6960-6038-4b48-b22f-a10d22752767.wav	57db6960-6038-4b48-b22f-a10d22752767	0b3bbf97-0ec3-41da-add4-722d87329ec3	data\RagaDataset/Hindustani/audio/0b3bbf97-0ec3-41da-add4-722d87329ec3/Amir_Khan/The_Great_Heritage:_Ustad_Amir_Khan/02_RAGA_-_MADHUKAUNS-_BAIRANBHAI_RAIN_57db6960-6038-4b48-b22f-a10d22752767	141.013849	1.406884139292630209e+02	1058.12	Madhukauns	1
data\RagaDataset\audio\1174dd02-87d2-4be3-bae1-d222b8a5f5a4.wav	1174dd02-87d2-4be3-bae1-d222b8a5f5a4	0b3bbf97-0ec3-41da-add4-722d87329ec3	data\RagaDataset/Hindustani/audio/0b3bbf97-0ec3-41da-add4-722d87329ec3/Prabha_Atre/Madhukauns/Tarana_Drut_Ektal_1174dd02-87d2-4be3-bae1-d222b8a5f5a4	231.739428	2.324096851364584779e+02	684.0424375	Madhukauns	1
data\RagaDataset\audio\91bbdaa0-551d-454b-97f3-67c89c72f8d5.wav	91bbdaa0-551d-454b-97f3-67c89c72f8d5	118401e7-8de8-4d81-9d8e-8070889e3fa8	data\RagaDataset/Hindustani/audio/118401e7-8de8-4d81-9d8e-8070889e3fa8/Ulhas_Kashalkar/Mellow_Moods/Raga_-_Darbari_Kanada_91bbdaa0-551d-454b-97f3-67c89c72f8d5	156.464662	1.565550656398502554e+02	1792.679125	Darbāri	2
data\RagaDataset\audio\1f5947f8-e4b8-47e4-86a6-8a817dbf8554.wav	1f5947f8-e4b8-47e4-86a6-8a817dbf8554	118401e7-8de8-4d81-9d8e-8070889e3fa8	data\RagaDataset/Hindustani/audio/118401e7-8de8-4d81-9d8e-8070889e3fa8/Madhup_Mudgal/Eternal_Music/Raga_Darbari_Kanhada_1f5947f8-e4b8-47e4-86a6-8a817dbf8554	145.145870	1.453976066766170447e+02	1380.0489375	Darbāri	2
data\RagaDataset\audio\98e14bae-50ae-4c9b-bb39-693ef89fc5b2.wav	98e14bae-50ae-4c9b-bb39-693ef89fc5b2	118401e7-8de8-4d81-9d8e-8070889e3fa8	data\RagaDataset/Hindustani/audio/118401e7-8de8-4d81-9d8e-8070889e3fa8/Bade_Ghulam_Ali_Khan/Ustad_Bade_Ghulam_Ali_Khan/Raga_Darbari_Kanada_98e14bae-50ae-4c9b-bb39-693ef89fc5b2	137.793088	1.373163601313835329e+02	2891.102	Darbāri	2
data\RagaDataset\audio\01df0bee-b090-4b1d-bbdc-84e1c436635b.wav	01df0bee-b090-4b1d-bbdc-84e1c436635b	118401e7-8de8-4d81-9d8e-8070889e3fa8	data\RagaDataset/Hindustani/audio/118401e7-8de8-4d81-9d8e-8070889e3fa8/Rashid_Khan/The_Genius_Of_Ustad_Rashid_Khan/Raga_Darbari_Kanada_-_Vilambit_Khayal_In_Ek_Iaal_-_Drut_Khayal_In_Teen_Taal_01df0bee-b090-4b1d-bbdc-84e1c436635b	156.464662	1.567360296525545493e+02	1676.53875	Darbāri	2
data\RagaDataset\audio\8d01b397-5d3f-4fdd-8c9a-a8a3a4e18709.wav	8d01b397-5d3f-4fdd-8c9a-a8a3a4e18709	118401e7-8de8-4d81-9d8e-8070889e3fa8	data\RagaDataset/Hindustani/audio/118401e7-8de8-4d81-9d8e-8070889e3fa8/Rashid_Khan/One_&_Only_Rashid/Bandish_in_Raag_Darbari_8d01b397-5d3f-4fdd-8c9a-a8a3a4e18709	146.832384	1.469172222106976164e+02	694.439125	Darbāri	2
data\RagaDataset\audio\f5cb8fde-2483-407c-896e-1d5a777aac2e.wav	f5cb8fde-2483-407c-896e-1d5a777aac2e	118401e7-8de8-4d81-9d8e-8070889e3fa8	data\RagaDataset/Hindustani/audio/118401e7-8de8-4d81-9d8e-8070889e3fa8/Ghulam_Mustafa_Khan/Timeless/Darbari_Kanada_f5cb8fde-2483-407c-896e-1d5a777aac2e	139.394167	1.394747074869675600e+02	1294.6546875	Darbāri	2
data\RagaDataset\audio\7ee9570e-7f04-4f1c-819a-ec044318e15c.wav	7ee9570e-7f04-4f1c-819a-ec044318e15c	118401e7-8de8-4d81-9d8e-8070889e3fa8	data\RagaDataset/Hindustani/audio/118401e7-8de8-4d81-9d8e-8070889e3fa8/Jayateerth_Mevundi/Raag_Darbari:_Rendition_of_Late_Evening_Raga/Raag_Darbari_7ee9570e-7f04-4f1c-819a-ec044318e15c	155.563492	1.556533749532806326e+02	3448.111	Darbāri	2
data\RagaDataset\audio\1f9922a5-0366-4461-96ac-81a31703416b.wav	1f9922a5-0366-4461-96ac-81a31703416b	1b05a564-059f-445b-b325-cf26318367e3	data\RagaDataset/Hindustani/audio/1b05a564-059f-445b-b325-cf26318367e3/Deborshee_Bhattacharya/Raag_Mian_Malhar_&_Ramdasi_Malhar/Raag_Mian_Malhar_1f9922a5-0366-4461-96ac-81a31703416b	146.832384	1.471720310678640544e+02	3632.7705625	Miyān malhār	3
data\RagaDataset\audio\adf0b8ea-cc74-410f-bd52-d59c08c78783.wav	adf0b8ea-cc74-410f-bd52-d59c08c78783	1b05a564-059f-445b-b325-cf26318367e3	data\RagaDataset/Hindustani/audio/1b05a564-059f-445b-b325-cf26318367e3/Satyasheel_Deshpande/Raag_Mian_Malhar_&_Ramdasi_Malhar/Raag_Mian_Malhar_adf0b8ea-cc74-410f-bd52-d59c08c78783	139.394167	1.389921616569026526e+02	2847.988	Miyān malhār	3
data\RagaDataset\audio\916fd45f-ddda-49e2-be63-207fc56a411e.wav	916fd45f-ddda-49e2-be63-207fc56a411e	1b05a564-059f-445b-b325-cf26318367e3	data\RagaDataset/Hindustani/audio/1b05a564-059f-445b-b325-cf26318367e3/Rashid_Khan/One_&_Only_Rashid/Bijuri_Chamake_Barase_916fd45f-ddda-49e2-be63-207fc56a411e	146.832384	1.466628545212803942e+02	793.9656875	Miyān malhār	3
data\RagaDataset\audio\3ce024ce-395c-45a7-9236-ac282eb21aa3.wav	3ce024ce-395c-45a7-9236-ac282eb21aa3	1b05a564-059f-445b-b325-cf26318367e3	data\RagaDataset/Hindustani/audio/1b05a564-059f-445b-b325-cf26318367e3/Prabha_Atre/Chaitanya/Raga_Miyan_Malhar_Khayal_3ce024ce-395c-45a7-9236-ac282eb21aa3	239.911701	2.403277967131696471e+02	2850.063625	Miyān malhār	3
data\RagaDataset\audio\6848a21a-20da-4023-a608-332870105a92.wav	6848a21a-20da-4023-a608-332870105a92	1b05a564-059f-445b-b325-cf26318367e3	data\RagaDataset/Hindustani/audio/1b05a564-059f-445b-b325-cf26318367e3/Veena_Sahasrabuddhe/Tribute_To_Miyan_Tansen_Vol-1/Karim_Naam_Tero_and_Gahar_Aayo_Re_Badarva_6848a21a-20da-4023-a608-332870105a92	234.432110	2.338910820737225436e+02	1808.509375	Miyān malhār	3
data\RagaDataset\audio\6c573272-1f4a-4504-b7e1-996f877e1e15.wav	6c573272-1f4a-4504-b7e1-996f877e1e15	1b05a564-059f-445b-b325-cf26318367e3	data\RagaDataset/Hindustani/audio/1b05a564-059f-445b-b325-cf26318367e3/Kumar_Gandharv/The_Genius_Of_Pt__Kumar_Gandharv/Raga_Miyan_Malhar_6c573272-1f4a-4504-b7e1-996f877e1e15	179.730700	1.792123662470630734e+02	1192.72	Miyān malhār	3
data\RagaDataset\audio\9cb37475-852e-4f7c-81c6-78824d08b839.wav	9cb37475-852e-4f7c-81c6-78824d08b839	1b05a564-059f-445b-b325-cf26318367e3	data\RagaDataset/Hindustani/audio/1b05a564-059f-445b-b325-cf26318367e3/Bhimsen_Joshi/Naad_Brahma_-_The_Eternal_Voice_Volume_1/Raga_Mian_Ki_Malhar_-_Vilambit_Khayal_In_Ektaal_9cb37475-852e-4f7c-81c6-78824d08b839	139.394167	1.386713922836710822e+02	2263.0921875	Miyān malhār	3
data\RagaDataset\audio\3abaaa52-4c95-4e8b-beda-37bc3d01f763.wav	3abaaa52-4c95-4e8b-beda-37bc3d01f763	1e7de02f-e77f-405a-a033-f31117aaf955	data\RagaDataset/Hindustani/audio/1e7de02f-e77f-405a-a033-f31117aaf955/Kumar_Gandharva/Raga_Bhairav_Ke_Prakaar/Rag_Bhairav_(Jhaptal)_3abaaa52-4c95-4e8b-beda-37bc3d01f763	179.730700	1.793159132717254920e+02	1208.0065	Bhairav	4
data\RagaDataset\audio\30408242-719e-4efb-a72d-fc1dc2833db7.wav	30408242-719e-4efb-a72d-fc1dc2833db7	1e7de02f-e77f-405a-a033-f31117aaf955	data\RagaDataset/Hindustani/audio/1e7de02f-e77f-405a-a033-f31117aaf955/Abdul_Rashid_Khan/Rasan_Piya_-_Volume_4/Pratham_Man_Nirankar_Devan_Man_Mahadev_30408242-719e-4efb-a72d-fc1dc2833db7	137.793088	1.369203470724762894e+02	509.6228125	Bhairav	4
data\RagaDataset\audio\ef6c848a-8f36-49fa-98f1-2b3d40391ddd.wav	ef6c848a-8f36-49fa-98f1-2b3d40391ddd	1e7de02f-e77f-405a-a033-f31117aaf955	data\RagaDataset/Hindustani/audio/1e7de02f-e77f-405a-a033-f31117aaf955/Salamat_Ali_Khan/Timeless_Music_From_Pakistan_Vol__2/Raga_Bhairav_ef6c848a-8f36-49fa-98f1-2b3d40391ddd	140.201669	1.399589284005022591e+02	760.293875	Bhairav	4
data\RagaDataset\audio\c207da5f-60fa-4622-b735-a9bd3425e8fd.wav	c207da5f-60fa-4622-b735-a9bd3425e8fd	1e7de02f-e77f-405a-a033-f31117aaf955	data\RagaDataset/Hindustani/audio/1e7de02f-e77f-405a-a033-f31117aaf955/Rashid_Khan/The_Song_Of_Shiva/Raga_Bhairav_c207da5f-60fa-4622-b735-a9bd3425e8fd	147.682975	1.479391119560113452e+02	693.0024375	Bhairav	4
data\RagaDataset\audio\2b1da797-d9f6-47bc-93c0-d19f5de0fa5d.wav	2b1da797-d9f6-47bc-93c0-d19f5de0fa5d	1e7de02f-e77f-405a-a033-f31117aaf955	data\RagaDataset/Hindustani/audio/1e7de02f-e77f-405a-a033-f31117aaf955/Rashid_Khan/The_Song_Of_Shiva/Raga_Bhairav_2b1da797-d9f6-47bc-93c0-d19f5de0fa5d	147.682975	1.477683046732518051e+02	2577.1885625	Bhairav	4
data\RagaDataset\audio\0a11bf6f-b55d-459c-9447-7a5a555a286f.wav	0a11bf6f-b55d-459c-9447-7a5a555a286f	1e7de02f-e77f-405a-a033-f31117aaf955	data\RagaDataset/Hindustani/audio/1e7de02f-e77f-405a-a033-f31117aaf955/Kumar_Gandharva/Raag_Bhairav_&_Dhani/Raag_Bhairav_0a11bf6f-b55d-459c-9447-7a5a555a286f	176.643034	1.765410304451324350e+02	1457.5945	Bhairav	4
data\RagaDataset\audio\3956d76d-876b-4e34-a6dd-c8ecfc057ff8.wav	3956d76d-876b-4e34-a6dd-c8ecfc057ff8	1e7de02f-e77f-405a-a033-f31117aaf955	data\RagaDataset/Hindustani/audio/1e7de02f-e77f-405a-a033-f31117aaf955/Abdul_Rashid_Khan/Rasan_Piya_-_Volume_4/Malana_Gungh_Lao_Is_Banre_Kay_Se_Sehara_3956d76d-876b-4e34-a6dd-c8ecfc057ff8	137.793088	1.373163601313835329e+02	1774.1321875	Bhairav	4
data\RagaDataset\audio\67b90abb-08cb-4473-9224-343b21e4681a.wav	67b90abb-08cb-4473-9224-343b21e4681a	290674e0-d94c-41c1-ad99-f65fa22a1447	data\RagaDataset/Hindustani/audio/290674e0-d94c-41c1-ad99-f65fa22a1447/Bhimsen_Joshi/Swaradhiraj_Vol__2/Raga_Madhuvanti_67b90abb-08cb-4473-9224-343b21e4681a	137.793088	1.375545175391321777e+02	2677.6555	Madhuvanti	5
data\RagaDataset\audio\68ecc764-b0da-4919-affe-8a50d558cbbf.wav	68ecc764-b0da-4919-affe-8a50d558cbbf	290674e0-d94c-41c1-ad99-f65fa22a1447	data\RagaDataset/Hindustani/audio/290674e0-d94c-41c1-ad99-f65fa22a1447/Kaushiki_Chakrabarty/Pure/Raga_Madhuvanti_Khayal_Shyam_bhaee_Ghanashyam_nahi_aye_more_dware_in_Ektaal_68ecc764-b0da-4919-affe-8a50d558cbbf	233.081881	2.330818810000000099e+02	1690.1224375	Madhuvanti	5
data\RagaDataset\audio\49e7d75c-484c-4002-9532-5717a4e30fe0.wav	49e7d75c-484c-4002-9532-5717a4e30fe0	290674e0-d94c-41c1-ad99-f65fa22a1447	data\RagaDataset/Hindustani/audio/290674e0-d94c-41c1-ad99-f65fa22a1447/Sanjeev_Abhyankar/Vocal_Classical/Mehamanan_se_ka_lariye_49e7d75c-484c-4002-9532-5717a4e30fe0	141.013849	1.407697022185251683e+02	1783.902	Madhuvanti	5
data\RagaDataset\audio\7711d588-1c7a-4756-8793-2aa5d32bfffb.wav	7711d588-1c7a-4756-8793-2aa5d32bfffb	290674e0-d94c-41c1-ad99-f65fa22a1447	data\RagaDataset/Hindustani/audio/290674e0-d94c-41c1-ad99-f65fa22a1447/Gopal_Mishra/Kula_Sampada/Raga_Madhuwanti_7711d588-1c7a-4756-8793-2aa5d32bfffb	155.563492	1.561035693214840592e+02	1007.5166875	Madhuvanti	5
data\RagaDataset\audio\354c38e3-c71b-4dd6-bc77-deb629ad14b9.wav	354c38e3-c71b-4dd6-bc77-deb629ad14b9	290674e0-d94c-41c1-ad99-f65fa22a1447	data\RagaDataset/Hindustani/audio/290674e0-d94c-41c1-ad99-f65fa22a1447/Prabha_Atre/Vocal_Recital/Raga_Madhuvanti_354c38e3-c71b-4dd6-bc77-deb629ad14b9	218.732893	2.182280960952224973e+02	1774.053875	Madhuvanti	5
data\RagaDataset\audio\b2456c14-8db5-4d11-bf23-ec360b33d242.wav	b2456c14-8db5-4d11-bf23-ec360b33d242	290674e0-d94c-41c1-ad99-f65fa22a1447	data\RagaDataset/Hindustani/audio/290674e0-d94c-41c1-ad99-f65fa22a1447/Shubha_Mudgal/Divas:_Once_Upon_a_Time/Madhuvanti_b2456c14-8db5-4d11-bf23-ec360b33d242	223.845532	2.217862903822814928e+02	1237.49875	Madhuvanti	5
data\RagaDataset\audio\ff70a092-0893-4836-a2a2-7ea654d171c9.wav	ff70a092-0893-4836-a2a2-7ea654d171c9	290674e0-d94c-41c1-ad99-f65fa22a1447	data\RagaDataset/Hindustani/audio/290674e0-d94c-41c1-ad99-f65fa22a1447/Kaushiki_Chakrabarty/Pure/Raga_Madhuvanti_Khayal_Kahe_maan_karo_sakihiri_ab_in_Teental_ff70a092-0893-4836-a2a2-7ea654d171c9	233.081881	2.329472865022785584e+02	893.07425	Madhuvanti	5
data\RagaDataset\audio\b22390c8-88bb-4e1f-9e23-bd3e237043ba.wav	b22390c8-88bb-4e1f-9e23-bd3e237043ba	2ed9379f-14c9-49af-8e4d-f9b63e96801f	data\RagaDataset/Hindustani/audio/2ed9379f-14c9-49af-8e4d-f9b63e96801f/Dattatreya_L_Velankar/Sura_Sindhu/Raga_Alahiya_Bilawal-Vilambit_Teental_b22390c8-88bb-4e1f-9e23-bd3e237043ba	146.832384	1.468323839999999905e+02	1099.232625	Alahaiyā bilāval	6
data\RagaDataset\audio\3766bcb1-57b6-4c16-9196-c2ed94d80331.wav	3766bcb1-57b6-4c16-9196-c2ed94d80331	2ed9379f-14c9-49af-8e4d-f9b63e96801f	data\RagaDataset/Hindustani/audio/2ed9379f-14c9-49af-8e4d-f9b63e96801f/Kumar_Gandharva/Pt__Kumar_Gandharva-Vocal/Laita_Jaiyo_3766bcb1-57b6-4c16-9196-c2ed94d80331	190.418043	1.897592466183882323e+02	386.6121875	Alahaiyā bilāval	6
data\RagaDataset\audio\7ed38940-f5e5-46cb-897d-ed408ddf8c85.wav	7ed38940-f5e5-46cb-897d-ed408ddf8c85	2ed9379f-14c9-49af-8e4d-f9b63e96801f	data\RagaDataset/Hindustani/audio/2ed9379f-14c9-49af-8e4d-f9b63e96801f/Jasraj/Legends:_Sangeet_Martand_Pandit_Jasraj_(Vol__1)/Karat_Shringar_Maiya_Man_Bhavat_7ed38940-f5e5-46cb-897d-ed408ddf8c85	133.870387	1.341025678145200288e+02	318.6933125	Alahaiyā bilāval	6
data\RagaDataset\audio\04d506c4-df9e-410c-a3e2-037abffe7b9c.wav	04d506c4-df9e-410c-a3e2-037abffe7b9c	2ed9379f-14c9-49af-8e4d-f9b63e96801f	data\RagaDataset/Hindustani/audio/2ed9379f-14c9-49af-8e4d-f9b63e96801f/Kishori_Amonkar/Sampradaya:_Carrying_Forward_a_Tradition/Raga_Alhaiya_Bilawal_Drut_Khayal_-_Teental_Sitarkhani_04d506c4-df9e-410c-a3e2-037abffe7b9c	234.432110	2.329472859054652361e+02	1051.8465	Alahaiyā bilāval	6
data\RagaDataset\audio\9117fa28-df28-4bb8-a0e3-b70e60fed262.wav	9117fa28-df28-4bb8-a0e3-b70e60fed262	2ed9379f-14c9-49af-8e4d-f9b63e96801f	data\RagaDataset/Hindustani/audio/2ed9379f-14c9-49af-8e4d-f9b63e96801f/Jasraj/The_Genius_of_Pt__Jasraj/Raga_Alahiya_Bilawal_9117fa28-df28-4bb8-a0e3-b70e60fed262	140.201669	1.402826760531496859e+02	1665.1755	Alahaiyā bilāval	6
data\RagaDataset\audio\0017d78e-a39d-4151-8d93-826ab2eb00d8.wav	0017d78e-a39d-4151-8d93-826ab2eb00d8	2ed9379f-14c9-49af-8e4d-f9b63e96801f	data\RagaDataset/Hindustani/audio/2ed9379f-14c9-49af-8e4d-f9b63e96801f/Dattatreya_L_Velankar/Sura_Sindhu/Raga_Alahiya_Bilawal-Drut_Teental_0017d78e-a39d-4151-8d93-826ab2eb00d8	146.832384	1.464089272357888660e+02	395.9901875	Alahaiyā bilāval	6
data\RagaDataset\audio\c53396aa-f369-4875-8c61-3f29787da6f5.wav	c53396aa-f369-4875-8c61-3f29787da6f5	2ed9379f-14c9-49af-8e4d-f9b63e96801f	data\RagaDataset/Hindustani/audio/2ed9379f-14c9-49af-8e4d-f9b63e96801f/Aslam_Hussain_Khan/Vocal/Mangta_Hoon_Tere_Dar_Ka__E_Ha_Jiyo_Pa_c53396aa-f369-4875-8c61-3f29787da6f5	140.201669	1.404448306015682988e+02	827.0628125	Alahaiyā bilāval	6
data\RagaDataset\audio\1a311323-791b-46fa-ab59-b749adcd18e1.wav	1a311323-791b-46fa-ab59-b749adcd18e1	3eb7ba30-4b94-432e-9618-875ee57e01ab	data\RagaDataset/Hindustani/audio/3eb7ba30-4b94-432e-9618-875ee57e01ab/Sameehan_Kashalkar/Raag_Marwa_&_Hameer/Raag_Marwa_1a311323-791b-46fa-ab59-b749adcd18e1	146.832384	1.468323839999999905e+02	2039.6920625	Mārvā	7
data\RagaDataset\audio\7081d924-c8e4-4216-9e69-ca397c10550b.wav	7081d924-c8e4-4216-9e69-ca397c10550b	3eb7ba30-4b94-432e-9618-875ee57e01ab	data\RagaDataset/Hindustani/audio/3eb7ba30-4b94-432e-9618-875ee57e01ab/Hirabai_Barodekar/The_Great_Heritage:_Hirabai_Barodekar/Ata_Tana_Dere_Na_7081d924-c8e4-4216-9e69-ca397c10550b	211	2.106346814780498278e+02	212.7673125	Mārvā	7
data\RagaDataset\audio\98afad39-5abc-4c96-b7af-5f2c70831066.wav	98afad39-5abc-4c96-b7af-5f2c70831066	3eb7ba30-4b94-432e-9618-875ee57e01ab	data\RagaDataset/Hindustani/audio/3eb7ba30-4b94-432e-9618-875ee57e01ab/Omkar_Dadarkar/Raag_Marwa_&_Shree/Raag_Marwa_98afad39-5abc-4c96-b7af-5f2c70831066	152.010417	1.521861277949253974e+02	1937.777375	Mārvā	7
data\RagaDataset\audio\66de36d2-f8b5-44aa-b586-ce75bd665a46.wav	66de36d2-f8b5-44aa-b586-ce75bd665a46	3eb7ba30-4b94-432e-9618-875ee57e01ab	data\RagaDataset/Hindustani/audio/3eb7ba30-4b94-432e-9618-875ee57e01ab/Vasantrao_Deshpande/Dr__Vasant_Rao_Deshpande_(Compilation)/Ye_Madmati_Chal__Bol_Na_Bin_-_Khayal_-_1972_66de36d2-f8b5-44aa-b586-ce75bd665a46	157.371053	1.570985858887217717e+02	1137.9983125	Mārvā	7
data\RagaDataset\audio\6504d224-d5e7-4353-841f-47adfcda0bd3.wav	6504d224-d5e7-4353-841f-47adfcda0bd3	3eb7ba30-4b94-432e-9618-875ee57e01ab	data\RagaDataset/Hindustani/audio/3eb7ba30-4b94-432e-9618-875ee57e01ab/Shrinivas_Joshi/Swarakruti/Raga_Marwa_6504d224-d5e7-4353-841f-47adfcda0bd3	155.563492	1.552044789216241725e+02	422.386625	Mārvā	7
data\RagaDataset\audio\fb73793a-3791-4986-b3f8-00621a16a522.wav	fb73793a-3791-4986-b3f8-00621a16a522	3eb7ba30-4b94-432e-9618-875ee57e01ab	data\RagaDataset/Hindustani/audio/3eb7ba30-4b94-432e-9618-875ee57e01ab/Amir_Khan/The_Great_Heritage:_Ustad_Amir_Khan/Raga_Marwa_Piya_More_fb73793a-3791-4986-b3f8-00621a16a522	145.986692	1.460710415787342527e+02	1109.4133125	Mārvā	7
data\RagaDataset\audio\344dca74-fb8a-4c7e-a7e6-0a52088edd71.wav	344dca74-fb8a-4c7e-a7e6-0a52088edd71	3eb7ba30-4b94-432e-9618-875ee57e01ab	data\RagaDataset/Hindustani/audio/3eb7ba30-4b94-432e-9618-875ee57e01ab/Jasraj/Khazana/Raga_Marwa_344dca74-fb8a-4c7e-a7e6-0a52088edd71	138.59	1.397152819097186125e+02	3051.180375	Mārvā	7
data\RagaDataset\audio\f0dfbbd2-7c91-4d7f-aa8d-30d95ee22c29.wav	f0dfbbd2-7c91-4d7f-aa8d-30d95ee22c29	40dbe1db-858f-4366-bef8-9076eb67340d	data\RagaDataset/Hindustani/audio/40dbe1db-858f-4366-bef8-9076eb67340d/Kumar_Mardur/Classical_Essence/Raga_Shudh_Saarang_f0dfbbd2-7c91-4d7f-aa8d-30d95ee22c29	161.982376	1.617019249943966770e+02	2344.4375	Śuddh sāraṅg	8
